2022-12-14 10:03:28,534 | INFO  | restartedMain | Starting AdminServiceApplication using Java 1.8.0_172 on DUNGTV_T with PID 5968 (D:\du_an\Dropbox\demo1.8\admin-social-service\admin-social-service\target\classes started by DELL in D:\du_an\Dropbox\demo1.8\admin-social-service\admin-social-service)
2022-12-14 10:03:28,534 | INFO  | background-preinit | HV000001: Hibernate Validator 6.2.3.Final
2022-12-14 10:03:28,545 | INFO  | restartedMain | No active profile set, falling back to 1 default profile: "default"
2022-12-14 10:03:28,671 | INFO  | restartedMain | The Class-Path manifest attribute in D:\maven_repository\.m2\repository\com\oracle\database\security\oraclepki\21.3.0.0\oraclepki-21.3.0.0.jar referenced one or more files that do not exist: file:/D:/maven_repository/.m2/repository/com/oracle/database/security/oraclepki/21.3.0.0/osdt_core.jar,file:/D:/maven_repository/.m2/repository/com/oracle/database/security/oraclepki/21.3.0.0/osdt_cert.jar,file:/D:/maven_repository/.m2/repository/com/oracle/database/security/oraclepki/oracle.osdt/osdt_core.jar,file:/D:/maven_repository/.m2/repository/com/oracle/database/security/oraclepki/oracle.osdt/osdt_cert.jar
2022-12-14 10:03:28,673 | INFO  | restartedMain | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-12-14 10:03:28,673 | INFO  | restartedMain | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-12-14 10:03:30,958 | INFO  | restartedMain | Multiple Spring Data modules found, entering strict repository configuration mode!
2022-12-14 10:03:30,960 | INFO  | restartedMain | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-12-14 10:03:31,062 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.CategoryRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2022-12-14 10:03:31,069 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.CommentRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2022-12-14 10:03:31,077 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.GroupsettingRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2022-12-14 10:03:31,084 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.HashTagRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2022-12-14 10:03:31,091 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.MediaRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2022-12-14 10:03:31,099 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.PostDetailRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2022-12-14 10:03:31,105 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.PostRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2022-12-14 10:03:31,113 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.RolesRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2022-12-14 10:03:31,120 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.TagRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2022-12-14 10:03:31,130 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.UserGroupRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2022-12-14 10:03:31,137 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.UserRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2022-12-14 10:03:31,140 | INFO  | restartedMain | Finished Spring Data repository scanning in 160 ms. Found 0 JPA repository interfaces.
2022-12-14 10:03:31,170 | INFO  | restartedMain | Multiple Spring Data modules found, entering strict repository configuration mode!
2022-12-14 10:03:31,170 | INFO  | restartedMain | Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2022-12-14 10:03:31,321 | INFO  | restartedMain | Finished Spring Data repository scanning in 150 ms. Found 11 MongoDB repository interfaces.
2022-12-14 10:03:32,436 | INFO  | restartedMain | Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@80c72cd' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-12-14 10:03:32,451 | INFO  | restartedMain | Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-12-14 10:03:33,740 | INFO  | restartedMain | Tomcat initialized with port(s): 9207 (http)
2022-12-14 10:03:33,756 | INFO  | restartedMain | Initializing ProtocolHandler ["http-nio-9207"]
2022-12-14 10:03:33,758 | INFO  | restartedMain | Starting service [Tomcat]
2022-12-14 10:03:33,760 | INFO  | restartedMain | Starting Servlet engine: [Apache Tomcat/9.0.62]
2022-12-14 10:03:34,440 | INFO  | restartedMain | Initializing Spring embedded WebApplicationContext
2022-12-14 10:03:34,441 | INFO  | restartedMain | Root WebApplicationContext: initialization completed in 5766 ms
2022-12-14 10:03:35,269 | INFO  | restartedMain | authen - Starting...
2022-12-14 10:03:35,273 | WARN  | restartedMain | Registered driver with driverClassName=oracle.jdbc.driver.OracleDriver was not found, trying direct instantiation.
2022-12-14 10:03:37,622 | INFO  | restartedMain | authen - Driver does not support get/set network timeout for connections. (oracle.jdbc.driver.T4CConnection.getNetworkTimeout()I)
2022-12-14 10:03:37,639 | INFO  | restartedMain | authen - Start completed.
2022-12-14 10:03:37,741 | INFO  | restartedMain | HHH000204: Processing PersistenceUnitInfo [name: default]
2022-12-14 10:03:37,896 | INFO  | restartedMain | HHH000412: Hibernate ORM core version 5.6.8.Final
2022-12-14 10:03:38,273 | INFO  | restartedMain | HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-12-14 10:03:38,574 | INFO  | restartedMain | HHH000400: Using dialect: org.hibernate.dialect.Oracle10gDialect
2022-12-14 10:03:39,086 | INFO  | restartedMain | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-12-14 10:03:39,110 | INFO  | restartedMain | Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-12-14 10:03:39,201 | WARN  | restartedMain | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
