2023-02-08 09:02:16,015 | INFO  | restartedMain | Starting AdminServiceApplication using Java 11.0.17 on LAPTOP-9DOSIF2G with PID 5052 (D:\code\admin-social-service\target\classes started by dat do in D:\code\admin-social-service)
2023-02-08 09:02:16,026 | INFO  | restartedMain | No active profile set, falling back to 1 default profile: "default"
2023-02-08 09:02:16,039 | INFO  | background-preinit | HV000001: Hibernate Validator 6.2.3.Final
2023-02-08 09:02:16,116 | INFO  | restartedMain | The Class-Path manifest attribute in C:\Users\tien dat\.m2\repository\com\oracle\database\security\oraclepki\21.3.0.0\oraclepki-21.3.0.0.jar referenced one or more files that do not exist: file:/C:/Users/tien%20dat/.m2/repository/com/oracle/database/security/oraclepki/21.3.0.0/osdt_core.jar,file:/C:/Users/tien%20dat/.m2/repository/com/oracle/database/security/oraclepki/21.3.0.0/osdt_cert.jar,file:/C:/Users/tien%20dat/.m2/repository/com/oracle/database/security/oraclepki/oracle.osdt/osdt_core.jar,file:/C:/Users/tien%20dat/.m2/repository/com/oracle/database/security/oraclepki/oracle.osdt/osdt_cert.jar
2023-02-08 09:02:16,119 | INFO  | restartedMain | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-02-08 09:02:16,120 | INFO  | restartedMain | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-02-08 09:02:18,177 | INFO  | restartedMain | Multiple Spring Data modules found, entering strict repository configuration mode!
2023-02-08 09:02:18,178 | INFO  | restartedMain | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-02-08 09:02:18,255 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.CommentRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2023-02-08 09:02:18,261 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.GroupsettingRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2023-02-08 09:02:18,268 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.PostsRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2023-02-08 09:02:18,273 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.UserGroupRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2023-02-08 09:02:18,279 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.UserRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2023-02-08 09:02:18,281 | INFO  | restartedMain | Finished Spring Data repository scanning in 86 ms. Found 0 JPA repository interfaces.
2023-02-08 09:02:18,313 | INFO  | restartedMain | Multiple Spring Data modules found, entering strict repository configuration mode!
2023-02-08 09:02:18,314 | INFO  | restartedMain | Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2023-02-08 09:02:18,409 | INFO  | restartedMain | Finished Spring Data repository scanning in 94 ms. Found 5 MongoDB repository interfaces.
2023-02-08 09:02:19,113 | INFO  | restartedMain | Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@58bb1071' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-02-08 09:02:19,119 | INFO  | restartedMain | Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-02-08 09:02:20,074 | INFO  | restartedMain | Tomcat initialized with port(s): 9207 (http)
2023-02-08 09:02:20,104 | INFO  | restartedMain | Initializing ProtocolHandler ["http-nio-9207"]
2023-02-08 09:02:20,106 | INFO  | restartedMain | Starting service [Tomcat]
2023-02-08 09:02:20,107 | INFO  | restartedMain | Starting Servlet engine: [Apache Tomcat/9.0.62]
2023-02-08 09:02:20,483 | INFO  | restartedMain | Initializing Spring embedded WebApplicationContext
2023-02-08 09:02:20,486 | INFO  | restartedMain | Root WebApplicationContext: initialization completed in 4365 ms
2023-02-08 09:02:21,389 | INFO  | restartedMain | authen - Starting...
2023-02-08 09:02:21,398 | WARN  | restartedMain | Registered driver with driverClassName=oracle.jdbc.driver.OracleDriver was not found, trying direct instantiation.
2023-02-08 09:02:21,995 | INFO  | restartedMain | authen - Driver does not support get/set network timeout for connections. (Receiver class oracle.jdbc.driver.T4CConnection does not define or inherit an implementation of the resolved method 'abstract int getNetworkTimeout()' of interface java.sql.Connection.)
2023-02-08 09:02:22,007 | INFO  | restartedMain | authen - Start completed.
2023-02-08 09:02:22,071 | INFO  | restartedMain | HHH000204: Processing PersistenceUnitInfo [name: default]
2023-02-08 09:02:22,263 | INFO  | restartedMain | HHH000412: Hibernate ORM core version 5.6.8.Final
