2022-12-12 17:19:25,794 | INFO  | background-preinit | HV000001: Hibernate Validator 6.2.3.Final
2022-12-12 17:19:25,792 | INFO  | restartedMain | Starting AdminServiceApplication using Java 1.8.0_172 on DUNGTV_T with PID 15444 (D:\du_an\Dropbox\demo1.8\admin-social-service\admin-social-service\target\classes started by DELL in D:\du_an\Dropbox\demo1.8\admin-social-service\admin-social-service)
2022-12-12 17:19:25,804 | INFO  | restartedMain | No active profile set, falling back to 1 default profile: "default"
2022-12-12 17:19:25,917 | INFO  | restartedMain | The Class-Path manifest attribute in D:\maven_repository\.m2\repository\com\oracle\database\security\oraclepki\21.3.0.0\oraclepki-21.3.0.0.jar referenced one or more files that do not exist: file:/D:/maven_repository/.m2/repository/com/oracle/database/security/oraclepki/21.3.0.0/osdt_core.jar,file:/D:/maven_repository/.m2/repository/com/oracle/database/security/oraclepki/21.3.0.0/osdt_cert.jar,file:/D:/maven_repository/.m2/repository/com/oracle/database/security/oraclepki/oracle.osdt/osdt_core.jar,file:/D:/maven_repository/.m2/repository/com/oracle/database/security/oraclepki/oracle.osdt/osdt_cert.jar
2022-12-12 17:19:25,919 | INFO  | restartedMain | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-12-12 17:19:25,919 | INFO  | restartedMain | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-12-12 17:19:27,962 | INFO  | restartedMain | Multiple Spring Data modules found, entering strict repository configuration mode!
2022-12-12 17:19:27,963 | INFO  | restartedMain | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-12-12 17:19:28,055 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.CategoryRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2022-12-12 17:19:28,062 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.CommentRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2022-12-12 17:19:28,070 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.GroupsettingRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2022-12-12 17:19:28,077 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.HashTagRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2022-12-12 17:19:28,084 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.MediaRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2022-12-12 17:19:28,094 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.PostDetailRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2022-12-12 17:19:28,099 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.PostRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2022-12-12 17:19:28,106 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.RolesRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2022-12-12 17:19:28,118 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.TagRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2022-12-12 17:19:28,127 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.UserGroupRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2022-12-12 17:19:28,134 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.UserRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2022-12-12 17:19:28,136 | INFO  | restartedMain | Finished Spring Data repository scanning in 157 ms. Found 0 JPA repository interfaces.
2022-12-12 17:19:28,169 | INFO  | restartedMain | Multiple Spring Data modules found, entering strict repository configuration mode!
2022-12-12 17:19:28,170 | INFO  | restartedMain | Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2022-12-12 17:19:28,274 | INFO  | restartedMain | Finished Spring Data repository scanning in 103 ms. Found 11 MongoDB repository interfaces.
2022-12-12 17:19:29,181 | INFO  | restartedMain | Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@34325b3c' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-12-12 17:19:29,190 | INFO  | restartedMain | Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-12-12 17:19:30,131 | INFO  | restartedMain | Tomcat initialized with port(s): 9207 (http)
2022-12-12 17:19:30,145 | INFO  | restartedMain | Initializing ProtocolHandler ["http-nio-9207"]
2022-12-12 17:19:30,292 | INFO  | restartedMain | Starting service [Tomcat]
2022-12-12 17:19:30,293 | INFO  | restartedMain | Starting Servlet engine: [Apache Tomcat/9.0.62]
2022-12-12 17:19:30,802 | INFO  | restartedMain | Initializing Spring embedded WebApplicationContext
2022-12-12 17:19:30,803 | INFO  | restartedMain | Root WebApplicationContext: initialization completed in 4882 ms
2022-12-12 17:19:31,464 | INFO  | restartedMain | authen - Starting...
2022-12-12 17:19:31,468 | WARN  | restartedMain | Registered driver with driverClassName=oracle.jdbc.driver.OracleDriver was not found, trying direct instantiation.
2022-12-12 17:19:31,676 | INFO  | restartedMain | authen - Driver does not support get/set network timeout for connections. (oracle.jdbc.driver.T4CConnection.getNetworkTimeout()I)
2022-12-12 17:19:31,688 | INFO  | restartedMain | authen - Start completed.
2022-12-12 17:19:31,792 | INFO  | restartedMain | HHH000204: Processing PersistenceUnitInfo [name: default]
2022-12-12 17:19:31,912 | INFO  | restartedMain | HHH000412: Hibernate ORM core version 5.6.8.Final
2022-12-12 17:19:32,226 | INFO  | restartedMain | HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-12-12 17:19:32,488 | INFO  | restartedMain | HHH000400: Using dialect: org.hibernate.dialect.Oracle10gDialect
2022-12-12 17:19:32,925 | INFO  | restartedMain | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-12-12 17:19:32,956 | INFO  | restartedMain | Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-12-12 17:19:33,067 | WARN  | restartedMain | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-12-12 17:19:33,378 | INFO  | restartedMain | Cluster created with settings {hosts=[172.16.10.74:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'}
2022-12-12 17:19:33,545 | INFO  | cluster-ClusterId{value='6397003553108075c8e7ce54', description='null'}-172.16.10.74:27017 | Opened connection [connectionId{localValue:2, serverValue:541235}] to 172.16.10.74:27017
